"","species","mean_depth","mean_lat","mean_lon","weighted_depth","weighted_lat","weighted_lon"
"1","",193.993333333333,57.1560559217919,-153.415293419695,189.092062975157,56.4003626042386,-156.248265172785
"2","Alaska skate",142.395,56.3443086191864,-155.552754239853,127.352171138392,56.0687855393043,-157.228093976684
"3","Aleutian skate",198.364253393665,56.5500099973759,-155.094297684623,178.525518462743,56.6074694711096,-155.620806585352
"4","antlered sculpin",45.6666666666667,55.3345002763732,-160.428790452294,52.0740594998924,55.0823713627924,-161.712149635681
"5","armorhead sculpin",65.0507614213198,56.1866201860908,-157.30890233717,62.2009463743686,56.1568432762686,-157.651834328844
"6","arrowtooth flounder",157.978863268608,56.7031374065606,-152.611428736244,143.117455456442,57.0940077196989,-152.696619877347
"7","Atka mackerel",118.811320754717,55.0978556494636,-159.707956759783,80.5885211794975,53.9837630495934,-163.630695756683
"8","Bering skate",184.86717062635,57.5310179150785,-151.749352564622,177.12252525356,57.5370926256426,-152.523850742215
"9","big skate",85.2956937799043,56.9903708733149,-154.059028296364,70.3352349295742,56.9623126201107,-154.437961954863
"10","bigmouth sculpin",182.30243902439,56.6703319610386,-154.751198854125,196.650244909998,56.5616832716422,-154.809388468431
"11","blackspotted rockfish",250.006791171477,56.637324160262,-151.724452757198,325.576624152904,56.4343277551278,-148.842786634669
"12","butter sole",63.8618618618619,56.8784988438397,-155.246976036234,57.0125879259319,57.0790674355296,-155.063306864339
"13","butterfly sculpin",39,55.3291604996245,-161.265849858108,39,55.3291604996245,-161.265849858108
"14","crested sculpin",159.333333333333,58.1325985117494,-154.191416880251,133.896293505887,58.8461754532259,-152.326876474477
"15","darkfin sculpin",247.126373626374,56.2300773522675,-149.538258953207,258.578473707903,55.6614088678927,-153.7594173871
"16","Dover sole",212.401550667147,57.3103334646912,-149.110769626729,251.14338098168,57.6346347993108,-147.115453689895
"17","dusky and dark rockfishes unid.",157.479166666667,56.936250056631,-152.196150703135,145.008610501093,57.2780979437126,-151.14875485538
"18","dusky rockfish",149.079930495222,56.7153399392385,-152.604682737739,127.958568497565,56.9342230823044,-152.73038559898
"19","English sole",98.720605355064,57.3561384820588,-148.933450210858,76.2023708429131,57.919283901102,-147.354308192635
"20","flathead sole",135.270647603028,56.833215476206,-154.285675481264,120.498460820151,56.7553540201566,-155.503239500763
"21","giant octopus",185.54845814978,56.0260168911213,-155.865539030482,111.793970819339,55.8777660364278,-157.392201624234
"22","great sculpin",77.9627601314348,56.2874390340542,-157.409803929311,79.4607831375086,56.3723985152652,-157.307289755067
"23","Greenland turbot",480.458333333333,54.9002300937042,-158.980738562053,422.843205734284,54.2761333434068,-161.747154277874
"24","harlequin rockfish",172.671764705882,56.9771619429329,-147.068239789518,153.306751893827,56.3287086517547,-148.514507262753
"25","Kamchatka flounder",334.391304347826,54.0686832291987,-162.682376432745,398.62692486112,54.3719892462867,-160.97003577795
"26","longnose skate",166.460110386352,57.7755359169438,-149.544667015793,154.204122332659,57.8391566127032,-150.588586596295
"27","magistrate armhook squid",284.671079429735,56.6215389027903,-151.203084097961,296.967932474629,56.2050173507442,-153.346132717026
"28","mud skate",226.375,52.7921302458218,-169.217345633917,222.731713397898,52.7581351477298,-169.401891548802
"29","northern rock sole",74.6893479141353,55.668054608876,-158.870630061301,58.5830488944762,55.5525800074266,-159.533474407934
"30","northern rockfish",141.239347711731,56.0214104972443,-156.400828935076,110.017006501675,55.5905441143563,-156.811838459588
"31","octopus unid.",339.913669064748,56.6539297635323,-152.122193830171,232.669953428383,56.033395806602,-156.603736320686
"32","Pacific cod",125.682015395381,56.4166082011802,-154.422673798041,102.870541015239,56.2261332263051,-156.279319615358
"33","Pacific halibut",125.461620977354,56.5477070759162,-154.142211441394,101.66893371654,56.7431700342285,-153.680091861523
"34","Pacific ocean perch",187.322342733189,56.777042964454,-150.416185255649,189.182741557978,56.3311700180582,-152.148051665948
"35","Pacific sleeper shark",171.388535031847,56.6515018190352,-155.953900925541,155.249745758335,56.9399627565441,-155.961895720825
"36","Pacific staghorn sculpin",93.3333333333333,56.6584030931259,-153.484125854611,74.9815063530585,56.9058246199712,-153.723473414777
"37","plain sculpin",53.9606741573034,56.7321327345049,-157.103109776934,49.3711779447981,57.183597709538,-155.581339423182
"38","prowfish",151.32087628866,56.5675956837056,-153.726219425236,141.672973636136,55.9813163716726,-155.850917501552
"39","rex sole",179.904423050091,56.8892637239055,-151.146653108014,176.388106942498,56.544383715627,-152.292252694006
