"","species","mean_depth","mean_lat","mean_lon","weighted_depth","weighted_lat","weighted_lon"
"1","arrowtooth flounder",211.276169907039,44.2645552604356,-124.525899070372,229.135803085176,45.6448836455824,-124.762097593499
"2","aurora rockfish",452.098123285714,39.0012615080143,-122.608030753929,466.288167990284,37.5166484614701,-122.221173526486
"3","big skate",111.221941323346,42.7157716048814,-123.990649188539,111.468831624251,42.8672071962182,-124.068256988282
"4","bigfin eelpout",349.17526720488,40.9143454731109,-123.295158075153,371.662740556783,41.270201735014,-123.677985487179
"5","black eelpout",460.58626883343,41.5676923325711,-123.684989359629,477.958394932861,41.809155341134,-124.04344301064
"6","black rockfish",70.3120125,43.1834375,-123.9005208325,72.8607203261662,44.2229915876091,-124.237907050985
"7","blackbelly eelpout",156.736399676824,41.5682185544275,-123.254734918356,214.51636293529,37.3185581680519,-121.388719233545
"8","blackgill rockfish",405.570185961872,35.9308564415425,-121.241118813865,428.116867480729,35.2099490422205,-121.096974524148
"9","blue rockfish",82.4341571428571,36.3962698414286,-121.649246032857,68.5999360630256,36.0846193932806,-121.61234039769
"10","brown cat shark",673.603621174825,39.8708459207776,-123.082800388498,632.119067406888,39.6570000791903,-123.099767709844
"11","brown rockfish",74.1320459770115,37.6523371648276,-122.648595146667,70.2322803991315,37.5650283469865,-122.523043230345
"12","butterfish unident.",97.34027,35.453416668,-120.634805555,90.6967376227421,35.1592933864991,-120.341093625046
"13","cabezon",73.9181,40.638958335,-122.9236111125,64.9557178142911,45.351583892915,-124.508909787787
"14","california skate",103.300233216477,36.8671876521209,-121.798449946521,90.4464291663113,37.4043761599773,-122.29121347476
"15","california slickhead",911.533874093722,39.2975701198585,-122.983367472312,998.09892867003,36.7283299959416,-121.819070100169
"16","canary rockfish",143.970256810244,43.9539015003958,-124.388824214284,141.529985435984,45.8487445525941,-124.797257297753
"17","chilipepper",166.78390367597,37.5421896981756,-122.335891762995,178.800144029624,38.4052947826847,-123.318064044497
"18","copper rockfish",93.8162496296296,35.1250514403704,-120.613510288074,98.158015220923,34.3495355619667,-120.309110813801
"19","cowcod",165.505482666667,35.9055824074667,-121.286088888667,182.526757675215,35.9173179564166,-121.459768045762
"20","curlfin sole",97.4648082987552,38.2731235592448,-122.37551129556,89.1192692981901,38.7689620494481,-122.860158465211
"21","darkblotched rockfish",220.887344090159,43.7542465335954,-124.413347077163,277.907051014782,44.1949326850601,-124.682363196611
"22","deepsea sole",883.599959442724,41.0804507592968,-123.772462897506,946.550182716712,41.6946275105359,-124.230634062107
"23","dover sole",378.322914551119,40.9835542798661,-123.311611694484,410.524439989312,42.0350289304537,-123.97736071489
"24","dungeness crab",141.179577433388,42.5362888949347,-123.979367938502,105.099123441578,42.648187877166,-124.0140068597
"25","english sole",133.214575011623,41.1467958055718,-123.278181336825,124.72122858605,42.158148705214,-123.75650691289
"26","filetail cat shark",490.307472170686,35.0748417853154,-120.945699082699,476.239991751691,35.008374054576,-121.007791636332
"27","flag rockfish",130.385217241379,34.2168223181034,-119.48026341,121.475241503219,34.264469094127,-119.511756906389
"28","flathead sole",146.706718213457,46.1371403712993,-124.63308842478,160.350420236311,47.1064340307159,-124.831014285186
"29","giant grenadier",948.789440822235,41.519400694806,-123.994807952148,1058.97723732969,42.4005730774519,-124.558520173279
"30","greenspotted rockfish",148.111825177305,37.7904343970035,-121.936282013262,141.141246390565,37.515545823105,-122.187665234033
"31","greenstriped rockfish",156.579353929237,41.9522987792477,-123.628169046048,161.018405570762,44.4727423949113,-124.538956310596
"32","grooved tanner crab",797.416110439745,40.5655799858845,-123.500883312863,840.073606015561,41.3548410241888,-124.068101763789
"33","halfbanded rockfish",116.580224728589,34.9635176249216,-120.312305320929,99.6521893978888,34.1725519701371,-119.299974435052
"34","honeycomb rockfish",87.1584523809524,33.5768650785714,-118.28332010619,74.7255118226266,33.5483070096715,-118.052369157305
"35","kelp greenling",97.0071765027322,44.3960003038798,-124.388731026175,95.7824672939411,44.9815068122466,-124.544863277885
"36","kelp rockfish",143.6,33.97916667,-118.625,143.6,33.97916667,-118.625
"37","lanternfish unident.",693.280686422414,39.8936298192188,-123.072014188281,660.588390023608,39.56560749132,-122.819967218411
"38","lingcod",139.831683318928,41.6394488459925,-123.614425477773,157.010905678012,42.8809998972963,-124.163283958886
"39","longnose skate",270.909116198877,41.1619825805004,-123.409778757921,273.727761739089,41.7272616249218,-123.697343461611
"40","longspine thornyhead",772.273022934549,39.7838453744018,-123.012816598114,863.628750347592,40.7506954371169,-123.79216259794
"41","olive rockfish",86.3612,35.61486111,-121.414583335,71.7048337264827,34.0603202284296,-120.201841113727
"42","pacific flatnose",967.473698929664,40.4739294512232,-123.578689899732,1116.79211771161,40.0632079162825,-123.790964049426
"43","pacific grenadier",928.365662614446,41.417846868998,-123.941705945575,1120.81101803965,41.0168800854552,-124.212520062527
"44","pacific hake",290.642436957032,40.6329748115661,-123.125336020441,192.129633509055,42.4817951343778,-123.937109658116
"45","pacific sanddab",108.203101390121,40.3844708173026,-122.955881806785,104.397656107192,40.4195277374411,-123.003400537921
"46","pacific spiny dogfish",179.52108582897,41.9070284080558,-123.597410703836,165.592385275574,45.2497215198986,-124.64155340508
"47","pacific viperfish",810.062190900901,42.9842912913784,-124.409449950045,806.104515047029,43.660010354369,-124.603602981145
"48","petrale sole",139.804972368126,41.8845039281953,-123.656358461136,139.783012851394,42.207127706183,-123.990638942275
"49","pink seaperch",97.5809957007739,35.8774651284093,-121.178818668229,87.5204901712407,35.0006518121089,-120.242938806131
"50","plainfin midshipman",108.555100701754,37.140208382014,-121.810425146133,119.168709100621,36.5038806120068,-121.845209778271
"51","quillback rockfish",98.0352559322034,44.8554048972881,-124.542735404576,90.4816130175789,45.1027478077489,-124.645165376656
"52","redbanded rockfish",273.614993601896,43.6426839786019,-124.364531990498,263.353213269861,44.8591135051116,-124.658908676509
"53","rex sole",232.286333905115,41.797494763015,-123.619272223058,251.546239733562,43.0807750337808,-124.153969520612
"54","rock sole unident.",91.1864714285714,43.41251984,-124.307896825,77.6639783435457,41.2392242904123,-124.114487051986
"55","rougheye and blackspotted rockfish",297.4172646,45.70923722238,-124.70624499996,361.85084668338,45.8530422458568,-124.80794055605
"56","roughtail skate",945.77871865285,40.2958933712953,-123.387016613286,1007.59747944249,40.8417030414413,-123.826536861131
"57","sablefish",491.722558014248,41.2635500149006,-123.60038508791,486.607214357716,42.0816185253703,-124.009916639678
"58","sand sole",68.2981774834437,43.1365103019205,-123.994917218344,66.2277196051431,42.9789166422835,-123.98690348869
"59","sandpaper skate",284.577730144128,42.6155891172554,-123.865553851981,306.950739960002,42.9824348123968,-124.152362505257
"60","sharpchin rockfish",209.807065759312,44.0945045367908,-124.526519420716,201.091141008289,44.2453394361662,-124.742227587289
"61","shortbelly rockfish",166.522472336266,37.2938614641349,-121.923868523842,189.745485747094,36.5593540625297,-121.992343694546
"62","shortraker rockfish",417.221438461538,45.2832264969231,-124.631858973077,393.713214345543,44.6118691517418,-124.75291356341
"63","shortspine thornyhead",612.544031105253,40.4533727693711,-123.192557898712,575.110235201892,41.2720096194582,-123.526956012481
"64","slender sole",209.939114861509,41.8625614454556,-123.535338321095,195.856615764377,43.181034702372,-123.813265032057
"65","snakehead eelpout",901.527178042498,42.1638185948229,-124.311176397006,936.811553671318,42.3202953065805,-124.580269847942
"66","speckled rockfish",116.067256,34.7515777784,-120.4500555556,111.057311166688,33.6974225680265,-118.583152310867
"67","splitnose rockfish",297.02022929008,39.9139680301457,-122.773182364316,296.244799366235,39.2893684882238,-123.05228958689
"68","spotted ratfish",186.220873291805,41.2338939178003,-123.268207557358,180.338210837597,41.7224890565701,-123.533660406774
"69","squarespot rockfish",103.798350617284,34.6479492453086,-120.09032921784,94.3718000107928,34.8193633890499,-119.990923879378
"70","stripetail rockfish",175.900506698774,38.7925367289711,-122.482294342237,200.120119247621,39.60395933812,-123.563881336405
"71","tree rockfish",60.2323,33.79222222,-118.44833333,60.2323,33.79222222,-118.44833333
"72","twoline eelpout",861.225015845257,40.8416847729836,-123.507991668182,841.104415236959,41.6909666598956,-123.71979958087
"73","vermilion and sunset rockfish",104.99211452514,34.7975325883799,-120.265465548939,111.876730852147,34.6712334950935,-120.367796085843
"74","white croaker",86.6100682432432,35.9164850787669,-121.097716779375,78.442208501284,37.2239419288157,-122.273953750769
"75","widow rockfish",194.702326378897,42.3137509991847,-124.049983346882,172.012015947117,43.8448969926453,-124.496154776502
"76","yellowtail rockfish",144.176748429319,45.4990565007853,-124.575049083874,147.056951649654,46.4333729576777,-124.861154147246
