"","species","depth_effect","covariate","low","low_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se"
"1","greenstriped rockfish",TRUE,"o2",-2.02001485161405,0.870188897965946,7.26459167712548,8.13152440828515,9.28460652873953,8.69533667254155,2.99573227355399,0,0.953598396980745,0.0869132276417137
"2","pacific spiny dogfish",TRUE,"o2",-0.562805818065292,0.0774504499137188,2.40552703367075,0.15381658455143,2.96833285173604,0.17687156365732,2.99573227355399,0,0.546022013742993,0.0541016121209702
"3","petrale sole",TRUE,"o2",-1.98970381482606,0.269096803670577,3.06784332694026,0.248544315803411,5.05754714176631,0.486886016573796,2.99573227355399,0,0.843620394850687,0.030109078923164
"4","flathead sole",TRUE,"o2",-2.9389635635282,1.8483668268165,2.24049924516117,0.51474343461546,5.17946280868938,2.26967081392251,2.99573227355399,0,0.850895567740342,0.130676863847147
"5","english sole",TRUE,"o2",-2.64162134734312,0.514284176978492,4.12248447559025,0.622054911065189,6.76410582293338,1.08889484116683,2.99573227355399,0,0.912574282650511,0.0281478188245977
"6","sablefish",TRUE,"o2",-3.22257514821649,0.222570840073604,3.74722536840698,0.428547320617059,6.96980051662347,0.594496656539334,2.99573227355399,0,0.917658401303837,0.0140468310397748
"7","slender sole",TRUE,"o2",-6.46942290032542,1.10015178013399,2.17069666607552,0.256874232610732,8.64011956640094,1.07750109766941,2.99573227355399,0,0.946417806757604,0.0133643687660832
"8","dover sole",TRUE,"o2",-5.83544380629339,0.649928201683535,3.57269776096328,0.365749330267319,9.40814156725667,0.947446121804595,2.99573227355399,0,0.954808963351533,0.00910191924873508
"9","blackbelly eelpout",TRUE,"o2",-3.36554421867679,0.632732339548719,2.19778174284982,0.253825419846824,5.56332596152661,0.722911102648838,2.99573227355399,0,0.870761776872818,0.0335870114501113
"10","dungeness crab",TRUE,"o2",-3.33607333346711,0.762193295993911,4.11028986980956,0.651212023083205,7.44636320327667,1.36241932276093,2.99573227355399,0,0.927860760388377,0.0263978243588514
"11","spotted ratfish",TRUE,"o2",-1.67985445860332,0.119265169337164,3.27287951749891,0.215419959030368,4.95273397610223,0.267345789665685,2.99573227355399,0,0.836931533078765,0.0176046879436637
"12","big skate",TRUE,"o2",-0.854359298370883,0.189061832973473,3.37847254119113,0.431294411335287,4.23283183956201,0.571573012270695,2.99573227355399,0,0.776746662169134,0.0602932446362806
"13","pacific sanddab",TRUE,"o2",-1.54545541241813,0.22553455023811,3.24718331865194,0.293650569884343,4.79263873107007,0.487495339119333,2.99573227355399,0,0.825855162220756,0.0354271629942443
"14","rex sole",TRUE,"o2",-1.58768051962421,0.0777649904119393,2.46956720739936,0.0905599351629789,4.05724772702357,0.141529774521568,2.99573227355399,0,0.757005222308925,0.0169528697335747
"15","arrowtooth flounder",TRUE,"o2",-1.72444916508575,0.1490931637926,2.38060742650339,0.138258482655602,4.10505659158914,0.253334992386897,2.99573227355399,0,0.762632260401646,0.0292973084109252
"16","longnose skate",TRUE,"o2",-3.34127705484469,0.244301330431761,2.73085951933108,0.179438424534944,6.07213657417576,0.366401554365363,2.99573227355399,0,0.891513192522915,0.0130925035700916
